LowRank_U	LowRank_V	p7	p8	Top1avgRec	Top1stdRec	Top2avgRec	Top2stdRec	Top3avgRec	Top3stdRec	Top4avgRec	Top4stdRec
  512	    5	0.99	0	0.25399	0.012069	0.49514	0.0058982	0.71764	0.0045434	0.88654	0.005819
  512	    5	0.99	0.33	0.2428	0.0066782	0.49676	0.0108	0.71815	0.0043706	0.88654	0.005819
  512	    5	0.99	0.66	0.25703	0.014721	0.5011	0.007216	0.71812	0.0050959	0.88654	0.005819
  512	    5	0.99	0.99	0.23885	0.0094756	0.49266	0.0093106	0.71654	0.0052746	0.88654	0.005819
  768	    2	0	0	0.19453	0.0048614	0.35876	0.022392	0.54962	0.049815	0.80483	0.035038
  768	    2	0	0.33	0.17877	0.026642	0.35872	0.038918	0.56377	0.033385	0.82967	0.01707
  768	    2	0	0.66	0.18192	0.021929	0.36612	0.026256	0.5592	0.045022	0.78891	0.058868
  768	    2	0	0.99	0.19621	0.016074	0.38224	0.033799	0.57542	0.052431	0.80454	0.038307
  768	    2	0.33	0	0.25701	0.012542	0.50007	0.011256	0.71768	0.0056011	0.88648	0.0057501
  768	    2	0.33	0.33	0.24458	0.0072795	0.49419	0.0070568	0.7161	0.0062085	0.88654	0.005819
  768	    2	0.33	0.66	0.25114	0.013878	0.49653	0.013064	0.71604	0.0062946	0.88654	0.005819
  768	    2	0.33	0.99	0.24319	0.011859	0.49637	0.013765	0.71588	0.0058444	0.88628	0.0060408
  768	    2	0.66	0	0.24323	0.0064873	0.494	0.0085037	0.71697	0.0065131	0.88654	0.005819
  768	    2	0.66	0.33	0.24258	0.0045985	0.49135	0.0079504	0.71591	0.0060859	0.88661	0.005895
  768	    2	0.66	0.66	0.2447	0.0057936	0.49533	0.0078949	0.7174	0.0055508	0.88654	0.005819
  768	    2	0.66	0.99	0.2497	0.011265	0.4974	0.0073758	0.71902	0.0056359	0.88654	0.005819
  768	    2	0.99	0	0.24502	0.0057972	0.49533	0.0078949	0.71604	0.0061694	0.88654	0.005819
  768	    2	0.99	0.33	0.24429	0.0062386	0.49533	0.0078949	0.71961	0.0050973	0.88654	0.005819
  768	    2	0.99	0.66	0.24317	0.0038889	0.49468	0.0074608	0.7161	0.0062085	0.88654	0.005819
  768	    2	0.99	0.99	0.24203	0.0080934	0.49325	0.0061289	0.71607	0.0062513	0.88654	0.005819
  768	    3	0	0	0.17014	0.05533	0.31666	0.060643	0.55076	0.055583	0.81232	0.018802
  768	    3	0	0.33	0.14946	0.029316	0.32932	0.023923	0.55307	0.026181	0.82053	0.01641
  768	    3	0	0.66	0.13155	0.019459	0.30566	0.040011	0.53448	0.048747	0.77515	0.049121
  768	    3	0	0.99	0.10844	0.027238	0.30133	0.041857	0.5112	0.056038	0.78923	0.02883
  768	    3	0.33	0	0.23857	0.012999	0.49631	0.009612	0.7161	0.0062085	0.88654	0.005819
  768	    3	0.33	0.33	0.25911	0.01205	0.49578	0.0098007	0.71534	0.007367	0.88645	0.0057165
  768	    3	0.33	0.66	0.2239	0.019928	0.49617	0.010577	0.71652	0.0055839	0.88633	0.0055892
  768	    3	0.33	0.99	0.23855	0.012418	0.49916	0.01645	0.7166	0.0066193	0.88654	0.005819
  768	    3	0.66	0	0.25047	0.013138	0.50101	0.015737	0.71625	0.0060625	0.88654	0.005819
  768	    3	0.66	0.33	0.25196	0.013688	0.49333	0.0075584	0.71819	0.0059529	0.8867	0.0058484
  768	    3	0.66	0.66	0.24823	0.0072067	0.50247	0.014241	0.71682	0.0070046	0.88654	0.005819
  768	    3	0.66	0.99	0.26055	0.013746	0.50571	0.0089839	0.71873	0.0063249	0.88661	0.0058904
  768	    3	0.99	0	0.24588	0.0070175	0.49611	0.0064754	0.71635	0.0058842	0.88654	0.005819
  768	    3	0.99	0.33	0.24278	0.0055533	0.49705	0.0069921	0.71687	0.0063428	0.88654	0.005819
  768	    3	0.99	0.66	0.2449	0.006771	0.49109	0.0063036	0.71722	0.0058856	0.88654	0.005819
  768	    3	0.99	0.99	0.24243	0.0055418	0.49499	0.0077652	0.7161	0.0062085	0.88654	0.005819
  768	    4	0	0	0.12644	0.013044	0.29267	0.014805	0.53567	0.030855	0.78396	0.024687
  768	    4	0	0.33	0.13704	0.028642	0.29852	0.025375	0.55379	0.037104	0.81325	0.040924
  768	    4	0	0.66	0.12195	0.03002	0.28637	0.03839	0.5314	0.028794	0.78561	0.017143
  768	    4	0	0.99	0.1262	0.04558	0.27155	0.026507	0.52354	0.016295	0.78341	0.044687
  768	    4	0.33	0	0.2359	0.016409	0.50095	0.0091329	0.71605	0.0061178	0.88696	0.0063666
  768	    4	0.33	0.33	0.26044	0.0095987	0.50346	0.014555	0.71617	0.0059054	0.88773	0.0072148
