Index	ZINCID	InChIKey	SMILES
59	ZINC00001261	JAUOIFJMECXRGI-UHFFFAOYSA-O	C1CC2=C(C=CC(=C2)Cl)C(=C3CC[NH2+]CC3)C4=C1C=CC=N4
60	ZINC00001267	DUGOZIWVEXMGBE-QWHCGFSZSA-O	COC(=O)[C@H](c1ccccc1)[C@@H]1CCCC[NH2+]1
61	ZINC00001281	DCOPUUMXTXDBNB-UHFFFAOYSA-M	[O-]C(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
62	ZINC00001341	VWLHWLSRQJQWRG-UHFFFAOYSA-O	CC[N+](C)(C)C1=CC(=CC=C1)O
63	ZINC00001382	AVOLMBLBETYQHX-UHFFFAOYSA-M	CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)[O-])Cl)Cl
64	ZINC00001407	BPXIOWINQPQVOY-UHFFFAOYSA-O	CC[NH+](CCOc1ccccc1Cc1ccccc1)CC
65	ZINC00001408	NPUKDXXFDDZOKR-LLVKDONJSA-N	CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2
66	ZINC00001409	PXLPCZJACKUXGP-UHFFFAOYSA-N	CCC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Cl)Cl
67	ZINC00001427	ZPAKPRAICRBAOD-UHFFFAOYSA-M	C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)[O-]
68	ZINC00001436	DWPQODZAOSWNHB-UHFFFAOYSA-M	Clc1cccc(c1)NC(=O)/N=C/1\N=C(CN1C)[O-]
69	ZINC00001457	ODKNJVUHOIMIIZ-VQVTYTSYSA-N	C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
70	ZINC00001463	RKDSBXNRTPTVEF-UHFFFAOYSA-M	C1=CC=C2C(=C1)C(=C(C2=O)C3=CC=C(C=C3)F)[O-]
71	ZINC00001464	OFBIFZUFASYYRE-UHFFFAOYSA-N	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C
72	ZINC00001504	LNTHITQWFMADLM-UHFFFAOYSA-M	C1=C(C=C(C(=C1O)[O-])O)C(=O)O
73	ZINC00001536	FVYXIJYOAGAUQK-UHFFFAOYSA-N	C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C
74	ZINC00001553	VXMYWVMXSWJFCV-UHFFFAOYSA-N	C1CC(=O)NN=C1C2=CC=C(C=C2)N3C=CN=C3
75	ZINC00001554	YGSDEFSMJLZEOE-UHFFFAOYSA-M	C1=CC=C(C(=C1)C(=O)O)[O-]
76	ZINC00001567	JXZZEXZZKAWDSP-UHFFFAOYSA-O	O=C(c1ccccc1)NC1CC[NH+](CC1)CCc1c[nH]c2c1cccc2
77	ZINC00001575	UQTZMGFTRHFAAM-ZETCQYMHSA-N	C1=CC(=C(C=C1CC(C(=O)[O-])[NH3+])I)O
78	ZINC00001582	UMMYPDFDLDVDCZ-UHFFFAOYSA-O	CC(C)NC1=NC(=C(C(=N1)Cl)SC)N2CC[NH+](CC2)C
79	ZINC00001590	QRXWMOHMRWLFEY-UHFFFAOYSA-N	C1=CN=CC=C1C(=O)NN
80	ZINC00001600	ALFGKMXHOUSVAD-UHFFFAOYSA-O	CCC(=O)C1(CC[NH+](CC1)C)c1cccc(c1)O
81	ZINC00001601	QANMHLXAZMSUEX-UHFFFAOYSA-N	C1=COC(=C1)CNC2=NC=NC3=C2NC=N3
82	ZINC00001614	MKXZASYAUGDDCJ-KBAYOESNSA-O	COc1ccc2c(c1)[C@]13CCCC[C@@H]3[C@@H](C2)[NH+](CC1)C
83	ZINC00001624	MXYUKLILVYORSK-HBMCJLEFSA-O	O[C@H](c1ccccc1)C[C@@H]1CCC[C@@H]([NH+]1C)CC(=O)c1ccccc1
84	ZINC00001630	IFWMVQUGSGWCRP-UHFFFAOYSA-N	CC(=O)OC1=C(C(=C(C2=C1C=CC(=C2)Cl)OC(=O)C)OC)OC
85	ZINC00001644	TYMRLRRVMHJFTF-UHFFFAOYSA-O	C1=CC(=CC=C1CN)S(=O)(=O)[NH3+]
86	ZINC00001655	SBDNJUWAMKYJOX-UHFFFAOYSA-M	CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)[O-])Cl
87	ZINC00001669	NPOAOTPXWNWTSH-UHFFFAOYSA-L	CC(CC(=O)[O-])(CC(=O)[O-])O
88	ZINC00001677	MJVAVZPDRWSRRC-UHFFFAOYSA-N	CC1=CC(=O)c2ccccc2C1=O
89	ZINC00001681	XADCESSVHJOZHK-UHFFFAOYSA-O	CCOC(=O)C1(CC[NH+](CC1)C)C2=CC=CC=C2
90	ZINC00001723	VQJHOPSWBGJHQS-UHFFFAOYSA-N	CC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Cl)Cl
91	ZINC00001732	DDLIGBOFAVUZHB-UHFFFAOYSA-O	Clc1ccc2c(c1)C(=NCc1n2c(C)[nH+]c1)c1ccccc1F
92	ZINC00001758	HPNSFSBZBAHARI-RUDMXATFSA-M	CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)[O-])OC
93	ZINC00001763	MQQNFDZXWVTQEH-UHFFFAOYSA-P	C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=[NH2+])N)[NH+]=C(N)N
94	ZINC00001773	DQCKKXVULJGBQN-XFWGSAIBSA-O	O=C1CC[C@@]2([C@@]34[C@H]1Oc1c4c(C[C@H]2[NH+](CC3)CC2CC2)ccc1O)O
95	ZINC00001792	ALWKGYPQUAPLQC-UHFFFAOYSA-N	CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C
96	ZINC00001795	PVNIIMVLHYAWGP-UHFFFAOYSA-M	C1=CC(=CN=C1)C(=O)[O-]
97	ZINC00001850	JBIMVDZLSHOPLA-LSCVHKIXSA-N	C[NH+](C)CCC=C1C2=CC=CC=C2COC3=C1C=C(C=C3)CC(=O)[O-]
98	ZINC00001863	OFPXSFXSNFPTHF-UHFFFAOYSA-M	C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)[O-])C3=CC=CC=C3
99	ZINC00001910	FEFFZKPQSVTBAY-UHFFFAOYSA-O	Fc1ccc(cc1)C(=O)CCC[NH+]1CCC(CC1)(O)c1ccccc1
100	ZINC00001931	IZRPKIZLIFYYKR-UHFFFAOYSA-O	C[NH+](CCOc1ccccc1Cc1ccccc1)C
101	ZINC00001963	SZRPDCCEHVWOJX-UHFFFAOYSA-M	CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)[O-])Cl)C
102	ZINC00001965	OQGWJZOWLHWFME-UHFFFAOYSA-N	CCC1=C(NC(=O)N1)C(=O)C2=CC=NC=C2
103	ZINC00001982	DBABZHXKTCFAPX-UHFFFAOYSA-M	CCCN(S(=O)(=O)c1ccc(cc1)C(=O)[O-])CCC
104	ZINC00001984	MQOBSOSZFYZQOK-UHFFFAOYSA-M	CC(C)(C(=O)[O-])OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
105	ZINC00001995	JTIGKVIOEQASGT-UHFFFAOYSA-N	CC1=CC2=C(C=C1)C(=NC(=O)N2C(C)C)C3=CC=CC=C3
106	ZINC00002002	YECBIJXISLIIDS-UHFFFAOYSA-P	C[NH+](C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=[NH+]2
107	ZINC00002009	RVOLLAQWKVFTGE-UHFFFAOYSA-N	C[N+]1=CC=CC(=C1)OC(=O)N(C)C
108	ZINC00002028	GHMLBKRAJCXXBS-UHFFFAOYSA-N	C1=CC(=CC(=C1)O)O
109	ZINC00002041	UHSKFQJFRQCDBE-UHFFFAOYSA-O	CCC[NH+](CCC)CCC1=C2CC(=O)NC2=CC=C1
110	ZINC00002070	LXANPKRCLVQAOG-NSHDSACASA-N	Fc1ccc2OCC[C@]3(NC(=O)NC3=O)c2c1
111	ZINC00002101	FDDDEECHVMSUSB-UHFFFAOYSA-N	C1=CC(=CC=C1N)S(=O)(=O)N
112	ZINC00002110	UJNDLZYLCRUOGS-UHFFFAOYSA-N	Nc1ccc(cc1)S(=O)(=O)[N-]c1noc(c1C)C
113	ZINC00002119	HMHVCUVYZFYAJI-UHFFFAOYSA-N	O=S1(=O)CCCCN1c1ccc(cc1)S(=O)(=O)N
114	ZINC00002131	JUZZEWSCNBCFRL-UHFFFAOYSA-O	C1CC[NH+](CC1)C1(CCCCC1)c1cccs1
115	ZINC00002139	NFIXBCVWIPOYCD-UHFFFAOYSA-O	CC[NH+](CCOc1ccc(cc1)Cc1ccccc1)CC
116	ZINC00002152	VXCONGLPCAPYEU-UHFFFAOYSA-N	CC1=C(SC(=O)N1CC2=CN=C(N=C2N)C)CCO
117	ZINC00002191	UPSPUYADGBWSHF-UHFFFAOYSA-M	CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)[O-]
118	ZINC00002200	TVYLLZQTGLZFBW-GOEBONIOSA-O	C[NH+](C)CC1CCCCC1(C2=CC(=CC=C2)OC)O
119	ZINC00002212	JOFWLTCLBGQGBO-UHFFFAOYSA-N	Cc1nnc2CN=C(c3ccccc3Cl)c4cc(Cl)ccc4n12
120	ZINC00002216	XEFQLINVKFYRCS-UHFFFAOYSA-N	C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl
121	ZINC00002264	HDOZVRUNCMBHFH-UHFFFAOYSA-O	C[NH+](C)CCOC1=CC2=CC=CC=C2SC3=C1C=C(C=C3)Cl
122	ZINC00002272	DKYWVDODHFEZIM-LLVKDONJSA-M	[O-]C(=O)[C@@H](c1cccc(c1)C(=O)c1ccccc1)C
123	ZINC00002275	CBQGYUDMJHNJBX-RBUKOAKNSA-O	CCOC1=CC=CC=C1OC(C2C[NH2+]CCO2)C3=CC=CC=C3
124	ZINC00002279	OZWKMVRBQXNZKK-LLVKDONJSA-M	C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)[O-]
125	ZINC00002281	XWTYSIMOBUGWOL-LLVKDONJSA-O	CC(C)(C)[NH2+]CC(C1=CC(=CC(=C1)O)O)O
126	ZINC00002284	CBQGYUDMJHNJBX-MOPGFXCFSA-O	CCOC1=CC=CC=C1OC(C2C[NH2+]CCO2)C3=CC=CC=C3
127	ZINC00002365	XFJSSDHKIXXJLM-MRVPVSSYSA-O	C[NH+]1CCC=C2[C@H]1CCc1c2nc(s1)N
128	ZINC00002376	WJUGGKGTCAVATA-UHFFFAOYSA-P	C1CC[NH+](CC1)Cc1ccc(cc1)c1cc2ccccc2c2=[NH+]CCn12
129	ZINC00002433	JAQUASYNZVUNQP-XIRDDKMYSA-O	Oc1ccc2c(c1)[C@@]13CCCC[C@H]3[C@H](C2)[NH+](CC1)C
130	ZINC00002675	PYKJFEPAUKAXNN-UHFFFAOYSA-N	CC1=C(N2C=CC=C(C2=N1)OCC3=CC=CC=C3)CC#N
131	ZINC00002698	LUZIZYOYWXEFRG-UHFFFAOYSA-N	C1=CSC(=C1)CN2C=CNC2=S
132	ZINC00002748	RATZLMXRALDSJW-ZDUSSCGKSA-O	CCC1(CC2=CC=CC=C2O1)C3=[NH+]CCN3
133	ZINC00002775	KUXOYSZHUFZKHN-UHFFFAOYSA-M	N#CC(=Cc1cc(O)c(c(c1)[N+](=O)[O-])[O-])C#N
134	ZINC00002779	BBFJODMCHICIAA-UHFFFAOYSA-M	C1=C(C=C(C(=C1[N+](=O)[O-])[O-])O)C=O
135	ZINC00002845	DHCYTSABKOYFHB-CMDGGOBGSA-N	Cc1noc(c1)/C=C/c1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C
136	ZINC00002850	XARSDFQMNNNPBL-PHDIDXHHSA-O	Nc1noc(n1)[C@@H]1C[NH+]2C[C@H]1CC2
137	ZINC00003106	MHJPVIGLQHLUFI-UHFFFAOYSA-N	CC1=NN=C(N1C2=CC=CC=C2OC)C3=CC=C(C=C3)C4=CC=CC=C4
