Index	DBID	InChIKey
386915	DB00284	CEMXHAPUFJOOSV-XGWNLRGSSA-N
97704	DB00285	PNVNVHUZROJLTJ-UHFFFAOYSA-N
386461	DB00287	MKPLKVHSHYCHOC-AHTXBMBWSA-N
386752	DB00288	ILKJAFIWWBXGDU-MOGDOJJUSA-N
29365	DB00289	VHGCDTVCOLNTBX-QGZVFWFLSA-N
386916	DB00290	OYVAGSVQBOHSSS-WXFSZRTFSA-O
143863	DB00291	JCKYGMPEJWAADB-UHFFFAOYSA-N
143268	DB00292	NPUKDXXFDDZOKR-LLVKDONJSA-N
36412	DB00293	IVTVGDXNLFLDRM-HNNXBMFYSA-N
386462	DB00294	GCKFUYQCUCGESZ-BPIQYHPVSA-N
360798	DB00295	BQJCRHHNABKAKU-KBQPJGBKSA-N
190160	DB00296	ZKMNUMMKYBVTFN-HNNXBMFYSA-N
386917	DB00297	LEBVLXFERQHONN-UHFFFAOYSA-N
109040	DB00298	RFWZESUMWJKKRN-UHFFFAOYSA-N
278944	DB00299	JNTOCHDNEULJHD-UHFFFAOYSA-N
386606	DB00300	JFVZFKDSXNQEJW-CQSZACIVSA-N
217441	DB00301	UIOFUWFRIANQPC-JKIFEVAISA-N
255095	DB00302	GYDJEQRTZSCIOI-LJGSYFOKSA-N
386321	DB00303	JUZNIMUFDBIJCM-ANEDZVCMSA-N
386753	DB00304	RPLCPCMSCLEKRS-BPIQYHPVSA-N
35011	DB00305	NWIBSHFKIJFRCO-WUDYKRTCSA-N
386754	DB00306	BJVVMKUXKQHWJK-UHFFFAOYSA-N
386918	DB00307	NAVMQTYZDKMPEU-UHFFFAOYSA-N
157082	DB00308	ALOBUEHUHMBRLE-UHFFFAOYSA-N
128613	DB00309	HHJUWIANJFBDHT-KOTLKJBCSA-N
91280	DB00310	JIVPVXMEBJLZRO-UHFFFAOYSA-N
361017	DB00312	WEXRUCMBJFQVBZ-UHFFFAOYSA-N
294151	DB00313	NIJJYAXOARWZEE-UHFFFAOYSA-N
155540	DB00315	ULSDMUVEXKOYBU-ZDUSSCGKSA-N
290678	DB00316	RZVAJINKPMORJF-UHFFFAOYSA-N
276363	DB00317	XGALLCVXEZPNRQ-UHFFFAOYSA-N
269028	DB00318	OROGSEYTTFOCAN-DNJOTXNNSA-N
323952	DB00319	IVBHGBMCVLDMKU-GXNBUGAJSA-N
22557	DB00320	LUZRJRNZXALNLM-JGRZULCMSA-N
55741	DB00321	KRMDCWKBEZIMAB-UHFFFAOYSA-N
182990	DB00322	ODKNJVUHOIMIIZ-RRKCRQDMSA-N
118782	DB00323	MIQPIUSUKVNLNT-UHFFFAOYSA-N
181844	DB00324	FAOZLTXFLGPHNG-KNAQIMQKSA-N
386919	DB00325	ASPOIVQEUUCDQT-UHFFFAOYSA-N
240650	DB00327	WVLOADHCBXTIJK-YNHQPCIGSA-N
301556	DB00328	CGIGDMFJXJATDK-UHFFFAOYSA-N
10750	DB00330	AEUTYOVWOVBAKS-UWVGGRQHSA-N
